,Site Name,Campaign Name,Contract Number,Title Name,Personnel Name,Contract Date,Close Date,Contract Info,Membership,Points,Club Name,Contract Status,Sales Volume USD,IDP,Closing Cost Charge USD,Closing Cost Paid USD,Applied IDP,IDP Percent,Unlimited Pack,Pack,Funded Interest,Desc TDC,Annuity,Rentsure Inscription,Unlimited Ccost,Finance Charge,Incentive,Comission Volume,IVA,Comission Volume Sin IVA,Mortgage Exchange Rate,SRExchange Rate,Flat Amount,Comision %,Comission Amount,Charger Back,Comisión - Charger Back,Anticipos o Descuentos,Comision Total a Pagar,Comentarios
243,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706973,Sup. OPC,Valdez Alvarado Jessica Fabiola,2021-05-31,2021-05-31,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,620.0,620.0,1860.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.94,18.0,0.0,0.5,923.2758,,923.2758,,923.2758,
244,SR MX  Park Royal Acapulco,Concierge PR Acapulc,9-703901,Sup. OPC,Valdez Alvarado Jessica Fabiola,2021-02-03,2021-02-03,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,520.0,520.0,1653.3464,0.283334,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.6207,20.17,20.17,0.0,0.5,1034.581897595,,1034.581897595,,1034.581897595,CDP´S
246,MX Park Royal Acapulco,Calle 450,9-706542,Ger. MKT,Vargas Bustos Victor Manuel,2021-05-16,2021-05-16,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.38,0.0,0.0,837.38,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,20.05,18.0,10.0,0.0,180.0,,180.0,,180.0,
247,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706657,Ger. MKT,Vargas Bustos Victor Manuel,2021-05-20,2021-05-20,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,520.0,520.0,1860.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.81,18.0,0.0,0.0,0.0,,0.0,,0.0,PET. CANC. 26/05/21
248,SR MX Park Royal Acapulco,Calle 450,9-706665,Ger. MKT,Vargas Bustos Victor Manuel,2021-05-20,2021-05-20,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,3100.0,520.0,520.0,3100.0,0.25,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.81,19.81,0.0,0.0,0.0,,0.0,,0.0,PET. CANC. 22/05/21
249,SR MX Park Royal Acapulco,850 TARASCOS CONDESA,9-706674,Ger. MKT,Vargas Bustos Victor Manuel,2021-05-21,2021-05-21,Original,Imagine,0.0,Imagine Club,Current Owner,2488.2,870.89,0.0,0.0,870.89,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2488.2,1.16,2145.0,19.88,18.0,10.0,0.0,180.0,,180.0,,180.0,
250,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706731,Ger. MKT,Vargas Bustos Victor Manuel,2021-05-23,2021-05-23,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.38,0.0,0.0,837.38,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.88,18.0,10.0,0.0,180.0,,180.0,,180.0,
251,SR MX Park Royal Acapulco,850 TARASCOS CONDESA,9-706768,Ger. MKT,Vargas Bustos Victor Manuel,2021-05-24,2021-05-24,Original,GLD+,30000.0,Swiss Club,Current Owner,19700.0,4710.0,623.51,623.51,4710.0,0.2391,0.0,0.0,-500,0,0.0,0.0,0.0,-74.0,0.0,19126.0,1.16,16487.93,19.95,18.0,0.0,1.0,2967.8274,,2967.8274,,2967.8274,
252,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706798,Ger. MKT,Vargas Bustos Victor Manuel,2021-05-25,2021-05-25,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.37,0.0,0.0,837.37,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.87,18.0,10.0,0.0,180.0,,180.0,,180.0,
253,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706849,Ger. MKT,Vargas Bustos Victor Manuel,2021-05-27,2021-05-27,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,2480.0,520.0,520.0,2480.0,0.2,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.88,18.0,0.0,0.5,923.2758,,923.2758,,923.2758,
254,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706864,Ger. MKT,Vargas Bustos Victor Manuel,2021-05-27,2021-05-27,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,1196.25,0.0,0.0,1196.25,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.88,18.0,10.0,0.0,180.0,,180.0,,180.0,
255,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706851,Ger. MKT,Vargas Bustos Victor Manuel,2021-05-27,2021-05-27,Original,Imagine,0.0,Imagine Club,Current Owner,2669.62,1334.81,0.0,0.0,1334.81,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2669.62,1.16,2301.4,19.88,18.0,10.0,0.0,180.0,,180.0,,180.0,
256,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706961,Ger. MKT,Vargas Bustos Victor Manuel,2021-05-30,2021-05-30,Original,Imagine,0.0,Imagine Club,Current Owner,2488.2,870.89,0.0,0.0,870.89,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2488.2,1.16,2145.0,19.95,18.0,10.0,0.0,180.0,,180.0,,180.0,
257,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706973,Ger. MKT,Vargas Bustos Victor Manuel,2021-05-31,2021-05-31,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,620.0,620.0,1860.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.94,18.0,0.0,0.5,923.2758,,923.2758,,923.2758,
258,SR MX  Park Royal Acapulco,Concierge PR Acapulc,9-703901,Ger. MKT,Vargas Bustos Victor Manuel,2021-02-03,2021-02-03,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,520.0,520.0,1653.3464,0.283334,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.6207,20.17,20.17,0.0,0.5,1034.581897595,,1034.581897595,,1034.581897595,CDP´S
260,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706849,OPC,Vargas Cedomio Hugo Jair,2021-05-27,2021-05-27,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,2480.0,520.0,520.0,2480.0,0.2,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.88,18.0,0.0,0.625,1154.09475,,1154.09475,,1154.09475,
261,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706864,OPC,Vargas Cedomio Hugo Jair,2021-05-27,2021-05-27,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,1196.25,0.0,0.0,1196.25,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.88,18.0,10.0,0.0,180.0,,180.0,,180.0,
262,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706973,OPC,Vargas Cedomio Hugo Jair,2021-05-31,2021-05-31,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,620.0,620.0,1860.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.94,18.0,0.0,0.625,1154.09475,,1154.09475,,1154.09475,
263,SR MX  Park Royal Acapulco,Concierge PR Acapulc,9-703901,OPC,Vargas Cedomio Hugo Jair,2021-02-03,2021-02-03,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,520.0,520.0,1653.3464,0.283334,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.6207,20.17,20.17,0.0,0.625,1293.2273719937502,,1293.2273719937502,,1293.2273719937502,CDP´S
265,SR MX Park Royal Acapulco,Socios RHC,9-706830,Closer,Vargas Yépez Víctor Israel,2021-05-26,2021-05-26,Upgrade,ROYL,70000.0,Swiss Club,Current Owner,8999.77,2250.0,527.02,527.02,2250.0,0.25,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,8999.77,1.16,7758.42,19.89,18.0,0.0,2.0,2793.0312,,2793.0312,,2793.0312,
266,SR MX  Park Royal Acapulco,,Charger Back,Closer,Vargas Yépez Víctor Israel,,,,,,Swiss Club,,,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,279.3,-279.3,,-279.3,CHARGER BACK 1 QUIN JUNIO
268,SR MX Park Royal Acapulco,Socios RHC,9-706609,Liner,Velazquez Aparicio Iliana,2021-05-18,2021-05-18,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,16633.98,2495.1,523.51,523.51,2495.1,0.15,0.0,0.0,-1500,0,0.0,0.0,0.0,-1274.0,0.0,13859.98,1.16,11948.26,19.8,18.0,0.0,1.0,2150.6868,,2150.6868,,2150.6868,
269,SR MX  Park Royal Acapulco,,Charger Back,Liner,Velazquez Aparicio Iliana,,,,Swiss Club,,Swiss Club,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,  ,CHARGERBACK  2 QUIN ENERO,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.07,-215.07,,-215.07,CHARGER BACK 1 QUIN JUNIO
